		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110101100    1    6    3    2    2    4    5    1 11.285566 0.186038 SUCCESS 111
110110000    0    5    1    2    2    1    2    3  7.393125 0.494871 SUCCESS 112
110110010    0    2    3    2    1    3    1    1  5.509792 0.701955 SUCCESS 113
110110100    0    0    3    2    2    2    2    2  5.509792 0.701955 SUCCESS 114
110111000    2    5    2    1    2    4    2    0  7.518901 0.481816 SUCCESS 115
110111010    1    1    1    2    3    2    4    3  4.066676 0.851058 SUCCESS 116
110111100    2    1    3    1    4    1    2    5  6.734455 0.565535 SUCCESS 117
111000000    1    1    2    2    1    2    4    5  6.671567 0.572447 SUCCESS 118
111000010    3    3    1    2    2    3    1    1  3.156454 0.924159 SUCCESS 119
111000100    1    4    2    1    4    2    5    4  7.833341 0.449917 SUCCESS 120
111000110    2    4    4    5    4    3    0    1  9.528010 0.299727 SUCCESS 121
111001000    0    4    2    3    1    3    3    3  5.039787 0.753315 SUCCESS 122
111001010    1    0    3    2    1    1    3    0  7.926019 0.440730 SUCCESS 123
111001100    2    1    2    4    3    2    2    1  3.219342 0.919848 SUCCESS 124
111010000    5    1    1    2    2    2    3    1  5.761345 0.673945 SUCCESS 125
111010010    3    2    2    1    2    4    3    4  3.470895 0.901437 SUCCESS 126
111010100    2    3    1    0    2    2    1    1  5.446904 0.708915 SUCCESS 127
111010110    2    5    2    3    6    1    6    4 15.836677 0.044778 SUCCESS 128
111011000    1    6    2    1    2    1    3    3  8.429123 0.392713 SUCCESS 129
111011010    2    1    4    3    2    1    0    0  8.051795 0.428427 SUCCESS 130
111011100    1    2    1    2    1    3    2    0  5.446904 0.708915 SUCCESS 131
111100000    3    1    3    2    2    1    3    3  2.434896 0.964698 SUCCESS 132
111100010    1    4    5    3    6    2    2    4 11.474230 0.176249 SUCCESS 133
111100100    1    3    3    6    0    3    3    2  9.402234 0.309508 SUCCESS 134
111100110    2    2    2    4    4    3    2    0  5.039787 0.753315 SUCCESS 135
111101000    4    3    2    4    1    4    3    2  4.444005 0.815009 SUCCESS 136
111101010    2    1    2    0    3    1    3    1  5.509792 0.701955 SUCCESS 137
111101100    2    3    3    1    4    3    2    2  2.560672 0.958842 SUCCESS 138
111101110    1    2    3    2    1    2    4    3  3.282230 0.915418 SUCCESS 139
111110000    2    2    3    4    4    1    3    3  3.533783 0.896552 SUCCESS 140
111110010    2    2    5    3    1    2    2    1  4.976899 0.760042 SUCCESS 141
111110100    4    3    2    4    1    3    3    3  3.596671 0.891559 SUCCESS 142
111110110    4    2    5    1    3    2    1    1  6.734455 0.565535 SUCCESS 143
111111000    2    2    4    1    3    2    3    2  2.497784 0.961834 SUCCESS 144
111111010    4    3    1    4    2    3    5    3  6.264449 0.617636 SUCCESS 145
111111100    4    3    3    1    1    1    6    2  9.402234 0.309508 SUCCESS 146
111111110    3    5    3    2    1    4    5    2  7.959118 0.437474 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    4    2    4    3    3    2    0    1  5.887121 0.659874 SUCCESS   0
000000011    3    4    1    3    1    2    0    1  6.482903 0.593305 SUCCESS   1
000000101    2    4    8    2    1    4    0    3 18.911573 0.015340 SUCCESS   2
000000111    2    6    2    4    0    2    4    1 11.096902 0.196269 SUCCESS   3
000001001    1    3    4    2    5    1    0    4  9.339345 0.314483 SUCCESS   4
000001011    4    5    4    1    2    5    2    3  8.869340 0.353438 SUCCESS   5
000001101    4    5    1    1    1    3    0    3  9.213569 0.324601 SUCCESS   6
000001111    5    2    1    0    1    4    0    1 11.504019 0.174743 SUCCESS   7
